year,player,conference,athlete_id,position,passing_completions,passing_att,passing_pct,passing_yds,passing_td,passing_int,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,rushing_long,dual_threat,team,total_wins,qb_type,off_explosiveness,off_success_rate,off_pts_per_opp,passing_qbr,predicted_qbr,fpi,recruiting_points,avg_temp,avg_humidity,avg_wind,avg_pressure,pct_indoors
2014,Kenny Hill,SEC,549865,QB,214,321,0.667,2649,23,8,8.3,52,156,0,3,58,Not Dual Threat,Texas A&M,8,Other,1.2302045174429126,0.4776500638569604,3.9545454545454546,59.823076923076925,62.69214035837884,15,278.08,70.66666666666667,51.083333333333336,5.575,1018.75,0.08333333333333333
2014,Nick Marshall,SEC,550021,QB,178,293,0.608,2532,20,7,8.6,153,798,11,5.2,50,Dual Threat,Auburn,8,Pure Runner,1.1615059817235036,0.49443207126948774,4.264367816091954,72.86190476190477,69.81144571801174,21.9,277.12,68.44166666666666,54,4.833333333333333,1017.4090909090909,0
2014,Jake Waters,Big 12,550158,QB,262,397,0.66,3501,22,7,8.8,154,484,9,3.1,53,Dual Threat,Kansas State,9,Dual Threat,1.1584747779315352,0.4873417721518987,4.02020202020202,71.1,64.26145959431194,17.3,178.29,64.25833333333333,49.83333333333333,8.241666666666667,1017.5333333333333,0
2014,Davis Webb,Big 12,550386,QB,211,345,0.612,2539,24,13,7.4,17,16,1,0.9,18,Not Dual Threat,Texas Tech,4,Other,1.403908407165353,0.4410430839002268,3.107142857142857,55.378571428571426,56.31664462902966,2.1,191.82,68.65,48.083333333333336,11.833333333333334,1015.5416666666666,0.08333333333333333
2014,Christian Hackenberg,Big Ten,552329,QB,270,484,0.558,2977,12,15,6.2,93,-94,0,-1,17,Not Dual Threat,Penn State,7,Other,1.1024940937805678,0.38386041439476554,2.4819277108433737,29.963157894736842,36.94065681080725,4.6,221.35,55.418181818181814,65.9090909090909,8.554545454545455,1018.3090909090909,0
2014,Brad Kaaya,ACC,3123048,QB,221,378,0.585,3198,26,12,8.5,27,-131,1,-4.9,5,Not Dual Threat,Miami,6,Pocket Passer,1.340035396697449,0.4467265725288832,3.7317073170731705,57.004999999999995,59.0399700151673,10.8,256.08,71.88333333333334,62,9.766666666666666,1017.35,0
2014,John Wolford,ACC,3124092,QB,214,367,0.583,2037,12,14,5.6,104,-151,0,-1.5,9,Not Dual Threat,Wake Forest,3,Other,1.0881611420312665,0.319672131147541,2.350877192982456,27.873684210526314,24.643645749793283,-10.4,160.4,68.10833333333333,43.25,7.316666666666666,1017.3333333333334,0
2015,Sam B. Richardson,Big 12,511969,QB,128,213,0.601,1443,8,8,6.8,47,12,1,0.3,19,Not Dual Threat,Iowa State,3,Other,1.1380250554001294,0.433252427184466,3.324675324675325,34.95384615384616,42.14807660149321,0.6,166.5,59.7,63.083333333333336,9.15,1020.35,0
2015,Jacoby Brissett,ACC,512191,QB,237,395,0.6,2662,20,6,6.7,139,370,6,2.7,31,Dual Threat,NC State,7,Other,1.3185319868156995,0.4262295081967213,4.056818181818182,56.47777777777778,52.55823752722882,8.8,208.69,67.275,63.83333333333333,6.833333333333333,1017.4166666666667,0
2015,Connor Cook,Big Ten,512705,QB,229,408,0.561,3131,24,7,7.7,52,56,0,1.1,22,Not Dual Threat,Michigan State,12,Other,1.2457034312712203,0.4306418219461698,3.7755102040816326,71.51052631578948,61.593635395166594,16.6,221.77,52.93846153846154,64.23076923076923,9.061538461538461,1021.0692307692308,0.07692307692307693
2015,Jake Coker,SEC,514124,QB,263,393,0.669,3110,21,8,7.9,74,68,2,0.9,26,Not Dual Threat,Alabama,14,Other,1.1628072079466778,0.4568273092369478,3.5576923076923075,52.88636363636363,61.923831222530765,27.4,311.1,72.5,55.92307692307692,8.353846153846154,1018.3461538461538,0.07692307692307693
2015,Joel Stave,Big Ten,514230,QB,225,370,0.608,2687,11,11,7.3,33,-123,1,-3.7,11,Not Dual Threat,Wisconsin,10,Other,1.0783920236481637,0.4400921658986175,3.8333333333333335,55.03157894736842,51.03421060791888,13.9,189.85,57.075,56.25,12.65,1019.7166666666667,0.08333333333333333
2015,Michael Brewer,ACC,514481,QB,126,216,0.583,1703,13,7,7.9,37,-80,1,-2.2,16,Not Dual Threat,Virginia Tech,7,Other,1.1520065612956816,0.4307692307692308,3.586206896551724,59.590909090909086,52.06871328839969,9.5,212.07,63.74166666666667,67.75,6.425,1017.9727272727273,0
2015,Brandon Allen,SEC,515915,QB,244,370,0.659,3440,30,8,9.3,56,107,1,1.9,22,Not Dual Threat,Arkansas,8,Pocket Passer,1.2359253132601695,0.516548463356974,4.435294117647059,69.85789473684211,72.3150108666133,17.4,222.51,63.56363636363636,70.0909090909091,6.518181818181818,1016.45,0.09090909090909091
2015,Trevone Boykin,Big 12,517127,QB,257,396,0.649,3575,31,10,9,123,612,9,5,69,Dual Threat,TCU,11,Dual Threat,1.2160384275958238,0.4850976361767729,3.883495145631068,75.7,73.2041587071291,20.5,191.44,66.55,50.916666666666664,9.641666666666667,1019.3583333333333,0
2015,Joe Hubener,Big 12,517248,QB,131,275,0.476,1837,9,10,6.7,180,613,13,3.4,34,Not Dual Threat,Kansas State,6,Pure Runner,1.0870662431818745,0.43719806763285024,4.337662337662338,47.50526315789474,44.54057832866562,5.2,175.02,63.11666666666667,56.5,10.55,1019.675,0.08333333333333333
2015,Jake Rudock,Big Ten,518380,QB,249,389,0.64,3017,20,9,7.8,58,166,4,2.9,23,Not Dual Threat,Michigan,10,Other,1.178716016940342,0.46776232616940583,3.9302325581395343,63.60588235294117,67.55144652710791,17.2,194.82,56.85,57.5,11.325,1017.709090909091,0
2015,Thomas Sirk,ACC,530478,QB,251,427,0.588,2625,16,8,6.1,163,803,8,4.9,73,Not Dual Threat,Duke,8,Pure Runner,1.1050746547846326,0.4224765868886576,3.2967032967032965,56.5875,54.41290080555343,5.1,175.77,65.79166666666667,66.5,6.433333333333334,1018.2416666666667,0
2015,Greyson Lambert,SEC,530521,QB,162,256,0.633,1959,12,2,7.7,29,-39,1,-1.3,13,Not Dual Threat,Georgia,10,Other,1.1433267146161072,0.4420485175202156,3.207792207792208,54.3125,57.04785925228235,15.9,282.54,68.34166666666667,61.916666666666664,6.033333333333333,1017.9166666666667,0
2015,Mitch Leidner,Big Ten,530731,QB,242,407,0.595,2701,14,11,6.6,107,270,6,2.5,33,Not Dual Threat,Minnesota,6,Other,1.143728202374762,0.4109916367980884,3.295774647887324,47.95789473684211,50.350095795421176,3.4,167.01,56,55.416666666666664,8.741666666666667,1021.0272727272727,0
2015,Patrick Towles,SEC,530944,QB,183,326,0.561,2148,9,14,6.6,71,64,5,0.9,33,Not Dual Threat,Kentucky,5,Other,1.3266210084689685,0.39367088607594936,3.2580645161290325,36.61666666666667,38.93248335125193,2.1,193.19,65.48333333333333,67.66666666666667,9.233333333333334,1017.3666666666667,0
2015,Tommy Armstrong Jr.,Big Ten,533270,QB,222,402,0.552,3030,22,16,7.5,98,400,7,4.1,32,Dual Threat,Nebraska,6,Pure Runner,1.2549870873224167,0.44538706256627786,3.8585858585858586,59.916666666666664,57.473176157358054,9.4,211.72,60.608333333333334,54.416666666666664,10.558333333333334,1020.3583333333333,0
2015,Chad Kelly,SEC,534580,QB,298,458,0.651,4042,31,13,8.8,107,500,10,4.7,43,Dual Threat,Ole Miss,10,Dual Threat,1.1973315225336234,0.5017381228273464,4.191489361702128,72.29473684210527,74.53855258818011,23.6,245.71,66.625,67.16666666666667,4.708333333333333,1017.0600000000001,0
2015,Wes Lunt,Big Ten,534652,QB,270,481,0.561,2761,14,6,5.7,24,-153,1,-6.4,14,Not Dual Threat,Illinois,5,Other,1.1765996729518506,0.38738738738738737,3.0779220779220777,42.252631578947366,46.13707287912122,3.1,181.74,58.458333333333336,57.416666666666664,11.608333333333334,1021.6583333333333,0
2015,Austin Appleby,Big Ten,534770,QB,119,207,0.575,1260,8,8,6.1,56,92,4,1.6,14,Not Dual Threat,Purdue,2,Other,1.133409045558321,0.40373395565927656,3.734375,46.4,42.24471738119719,-4.3,162.85,54.90833333333333,58.583333333333336,11.133333333333333,1022.5333333333333,0
2015,Seth Russell,Big 12,535511,QB,119,200,0.595,2104,29,6,10.5,49,402,6,8.2,46,Dual Threat,Baylor,10,Pure Runner,1.2927473223986536,0.510482180293501,4.530434782608696,91.78,87.70624209950854,21.8,195.88,65.76666666666667,54.5,7.5249999999999995,1020.05,0.08333333333333333
2015,Nate Sudfeld,Big Ten,535825,QB,247,412,0.6,3573,27,7,8.7,46,61,5,1.3,21,Dual Threat,Indiana,6,Pocket Passer,1.1989327250939168,0.4567669172932331,3.709090909090909,66.87647058823529,66.6426128902146,1.7,175.35,59.5,59.25,10.133333333333333,1020.6833333333334,0
2015,C.J. Beathard,Big Ten,535844,QB,223,362,0.616,2809,17,5,7.8,100,237,6,2.4,57,Not Dual Threat,Iowa,12,Other,1.2219714297956878,0.4379977246871445,3.7934782608695654,62.53636363636364,60.035164931322996,11.8,169.99,53.3,61.61538461538461,9.823076923076924,1023.7307692307693,0.07692307692307693
2015,Johnny McCrary,SEC,546184,QB,146,267,0.547,1533,6,12,5.7,70,186,2,2.7,29,Not Dual Threat,Vanderbilt,4,Other,1.092785682164544,0.3718104495747266,2.25,30.553333333333335,33.9670321450233,1.5,181.37,70.05,57.33333333333333,7.225,1017.209090909091,0
2015,Joshua Dobbs,SEC,546540,QB,205,344,0.596,2291,15,5,6.7,146,671,11,4.6,62,Not Dual Threat,Tennessee,9,Pure Runner,1.1936025048711687,0.4475446428571429,3.676767676767677,62.135,60.04056062597889,20.5,286.26,66.775,61.083333333333336,8.65,1017.1166666666667,0
2015,Chris Laviano,Big Ten,547549,QB,187,307,0.609,2247,16,12,7.3,65,-38,0,-0.6,14,Not Dual Threat,Rutgers,4,Other,1.1403312295587111,0.44382801664355065,3.3866666666666667,44.15555555555556,45.33121359386173,-4.9,172.19,59.00833333333333,57.83333333333333,8.291666666666666,1019.5833333333334,0
2015,Perry Orth,SEC,548144,QB,143,261,0.548,1929,12,9,7.4,53,138,2,2.6,66,Not Dual Threat,South Carolina,3,Other,1.3073421488577277,0.3979460847240051,3.40625,41.28095238095238,45.53377927627669,4.3,230.49,69.5909090909091,54.27272727272727,6.1454545454545455,1017.7454545454545,0
2015,Baker Mayfield,Big 12,550373,QB,269,395,0.681,3700,36,7,9.4,141,405,7,2.9,39,Dual Threat,Oklahoma,11,Dual Threat,1.2757289136664756,0.46794150731158607,4.194444444444445,70.62,73.70167631760128,26.2,249.69,59.21666666666667,65.66666666666667,7.391666666666667,1020.9583333333334,0
2015,Christian Hackenberg,Big Ten,552329,QB,192,359,0.535,2525,16,6,7,66,-80,2,-1.2,22,Not Dual Threat,Penn State,7,Other,1.2781721480981068,0.3784119106699752,3.1235955056179776,46.76470588235294,46.865356835628454,6.9,250,55.575,62.333333333333336,7.125,1022.1833333333333,0
2015,Kyle Allen,SEC,559681,QB,160,283,0.565,2210,17,7,7.8,65,102,2,1.6,22,Not Dual Threat,Texas A&M,8,Other,1.1580894836532916,0.4406779661016949,3.0208333333333335,51.875,55.08496231986254,14.6,270.61,74.08181818181818,54.81818181818182,8.272727272727273,1016.45,0.18181818181818182
2015,Brandon Harris,SEC,559751,QB,149,277,0.538,2165,13,6,7.8,67,226,4,3.4,33,Not Dual Threat,LSU,9,Other,1.2922717988160597,0.46025641025641023,3.8533333333333335,53.80555555555556,58.96983163019148,20.6,284.37,58.225,70.25,9.225,1023,0.25
2015,Mason Rudolph,Big 12,3116407,QB,264,424,0.623,3770,21,9,8.9,67,-35,1,-0.5,40,Not Dual Threat,Oklahoma State,10,Pocket Passer,1.371639775563695,0.4473386183465458,3.9375,64.36842105263158,57.163881429511164,14.2,191.28,63.81666666666667,52.5,7.241666666666666,1018.8083333333334,0
2015,Skyler Howard,Big 12,3116460,QB,221,403,0.548,3145,26,14,7.8,157,502,6,3.2,50,Dual Threat,West Virginia,8,Pure Runner,1.1437445052986484,0.4635761589403974,3.4285714285714284,49.810526315789474,52.26094200661716,14.4,198.02,61.31666666666666,50.666666666666664,8.85,1021.05,0
2015,Treon Harris,SEC,3121647,QB,119,235,0.506,1676,9,6,7.1,96,238,0,2.5,25,Not Dual Threat,Florida,10,Other,1.2525093519485246,0.3927315357561548,3.073170731707317,42.16,43.387325091285064,13.2,227.46,72.05833333333334,64.83333333333333,6.458333333333333,1017.4833333333333,0
2015,Deshaun Watson,ACC,3122840,QB,333,491,0.678,4104,35,13,8.4,207,1105,12,5.3,63,Dual Threat,Clemson,14,Dual Threat,1.1416834552364137,0.4977698483496878,4.371681415929204,78.595,78.01269124961871,22.3,277.98,66.40769230769232,61.92307692307692,6.3999999999999995,1018.9846153846154,0.07692307692307693
2015,Brad Kaaya,ACC,3123048,QB,239,390,0.613,3242,16,5,8.3,30,-119,2,-4,9,Not Dual Threat,Miami,8,Pocket Passer,1.22408620767641,0.4221105527638191,3.6511627906976742,60.66111111111111,58.14695507150986,6.4,215.49,76.33333333333333,60.583333333333336,8.641666666666666,1017.575,0
2015,John Wolford,ACC,3124092,QB,142,233,0.609,1791,9,11,7.7,73,67,3,0.9,70,Not Dual Threat,Wake Forest,3,Other,1.2673988258235118,0.3548795944233207,2.7272727272727275,33.517647058823535,40.32161959528073,-3.4,176.85,63.475,58.333333333333336,7.516666666666667,1018.125,0.08333333333333333
2015,Patrick Mahomes,Big 12,3139477,QB,364,573,0.635,4653,36,15,8.1,131,456,10,3.5,25,Dual Threat,Texas Tech,7,Dual Threat,1.2978056908419875,0.493,4.018867924528302,74.325,68.40897726683252,8.8,203.18,69.8,50.666666666666664,10.275,1017.7333333333333,0.08333333333333333
2015,Lamar Jackson,ACC,3916387,QB,135,247,0.547,1840,12,8,7.4,163,960,11,5.9,73,Not Dual Threat,Louisville,8,Pure Runner,1.3052308390086529,0.42970521541950113,3.3125,58.10625,59.55901102525158,10.3,201.4,65.81666666666666,55.5,9.133333333333333,1018.8166666666666,0
2016,Mitch Leidner,Big Ten,530731,QB,173,307,0.564,2169,8,12,7.1,111,366,10,3.3,32,Not Dual Threat,Minnesota,9,Other,1.0471464642353432,0.435665914221219,3.966666666666667,49.18571428571428,52.405655727872045,7.2,182.22,56.55,60.333333333333336,9.525,1022.0416666666666,0
2016,Patrick Towles,ACC,530944,QB,138,273,0.505,1730,12,7,6.3,115,294,4,2.6,75,Not Dual Threat,Boston College,7,Other,1.1546254246095642,0.3507362784471218,2.6493506493506493,38.96875,36.702459003995415,-1.1,146.69,62.041666666666664,62.833333333333336,7.841666666666667,1016.975,0
2016,Tommy Armstrong Jr.,Big Ten,533270,QB,151,294,0.514,2180,14,8,7.4,113,512,8,4.5,37,Not Dual Threat,Nebraska,9,Pure Runner,1.1865827261629764,0.4340909090909091,3.7375,56.5625,58.14586280330317,7,216.76,60.375,62.583333333333336,7.6,1021.4916666666667,0
2016,Trevor Knight,SEC,534449,QB,193,362,0.533,2432,19,7,6.7,102,614,10,6,62,Dual Threat,Texas A&M,8,Pure Runner,1.3223909150940685,0.4337899543378995,3.150537634408602,59.128571428571426,59.749099287692324,15.5,238.94,76.21666666666667,54.333333333333336,7.5,1020.3083333333334,0.08333333333333333
2016,Trevor Knight,SEC,534449,QB,193,362,0.533,2432,19,7,6.7,9,-9,0,-1,8,Not Dual Threat,Texas A&M,8,Other,1.3223909150940685,0.4337899543378995,3.150537634408602,59.128571428571426,55.05342663735907,15.5,238.94,76.21666666666667,54.333333333333336,7.5,1020.3083333333334,0.08333333333333333
2016,Chad Kelly,SEC,534580,QB,205,328,0.625,2758,19,8,8.4,81,332,5,4.1,41,Dual Threat,Ole Miss,5,Other,1.1891759871142151,0.45681818181818185,3.645161290322581,67.56666666666666,61.562512086333314,11.1,281.69,71.5909090909091,56.18181818181818,5.881818181818182,1020.475,0
2016,Wes Lunt,Big Ten,534652,QB,127,232,0.547,1376,8,3,5.9,20,-65,0,-3.3,14,Not Dual Threat,Illinois,3,Other,1.2205989345899315,0.3789808917197453,2.8833333333333333,37.31818181818182,39.169531364414716,-6,153.64,61.391666666666666,54.5,11.341666666666667,1022.35,0
2016,Austin Appleby,SEC,534770,QB,127,209,0.608,1447,10,7,6.9,41,-45,0,-1.1,33,Not Dual Threat,Florida,9,Other,1.100834039996154,0.4206642066420664,2.814814814814815,32.02727272727273,43.28564709915774,13.8,260.96,73.66363636363637,59.72727272727273,5.663636363636364,1019.6818181818181,0
2016,Seth Russell,Big 12,535511,QB,152,278,0.547,2126,20,8,7.6,94,506,8,5.4,50,Dual Threat,Baylor,7,Pure Runner,1.1854876406502934,0.47706422018348627,3.8144329896907214,61.35384615384616,60.37824004158821,8.9,191.99,70.675,61.083333333333336,8.95,1021.1333333333333,0.08333333333333333
2016,Tyler O'Connor,Big Ten,535578,QB,154,262,0.588,1970,16,9,7.5,63,70,0,1.1,16,Not Dual Threat,Michigan State,3,Other,1.1690614489319733,0.42065491183879095,3.0675675675675675,52.042857142857144,50.97335584882218,3.9,239.13,57.65,63.25,11.225,1019.575,0
2016,C.J. Beathard,Big Ten,535844,QB,170,301,0.565,1929,17,10,6.4,83,-13,2,-0.2,15,Not Dual Threat,Iowa,8,Other,1.0856142682180911,0.4220183486238532,3.25,46.94375,44.63991624258484,10.7,181.39,57.06666666666667,63.416666666666664,9.966666666666667,1021.725,0
2016,Luke Del Rio,SEC,546362,QB,114,201,0.567,1358,8,8,6.8,16,-43,0,-2.7,11,Not Dual Threat,Florida,9,Other,1.100834039996154,0.4206642066420664,2.814814814814815,46.35,44.52298676017952,13.8,260.96,73.66363636363637,59.72727272727273,5.663636363636364,1019.6818181818181,0
2016,Joshua Dobbs,SEC,546540,QB,225,357,0.63,2946,27,12,8.3,150,831,12,5.5,70,Dual Threat,Tennessee,9,Pure Runner,1.2265870785702797,0.46697566628041715,3.369565217391304,60.6875,68.23830729957896,15.5,253.94,72.59166666666667,49.333333333333336,4.341666666666667,1020.8090909090909,0
2016,Richard Lagow,Big Ten,546687,QB,253,438,0.578,3362,19,17,7.7,41,-188,2,-4.6,9,Not Dual Threat,Indiana,6,Pocket Passer,1.2428089593918907,0.413,2.717171717171717,52.5375,46.65337208317196,0.9,172.23,63.59166666666667,59.833333333333336,9.991666666666667,1019.725,0
2016,Austin Allen,SEC,547206,QB,245,401,0.611,3430,25,15,8.6,65,-126,2,-1.9,18,Not Dual Threat,Arkansas,7,Pocket Passer,1.293847946859365,0.43859649122807015,3.5930232558139537,58.45555555555555,51.50817286290368,6.3,219.34,68.95833333333333,50.333333333333336,6.241666666666667,1020.775,0.08333333333333333
2016,Kenny Hill,Big 12,549865,QB,269,440,0.611,3208,17,13,7.3,125,609,10,4.9,45,Not Dual Threat,TCU,6,Dual Threat,1.1506560538581074,0.4588744588744589,3.3010752688172045,55.91,61.40612171357935,9.6,235.79,70.825,56,7.883333333333334,1020.175,0
2016,Danny Etling,SEC,550170,QB,160,269,0.595,2123,11,5,7.9,41,46,1,1.1,18,Not Dual Threat,LSU,8,Other,1.2738602088311082,0.4478021978021978,3.5211267605633805,64.38666666666667,58.11575793748691,22.9,295.03,72.5,52.75,3.775,1021.175,0
2016,Baker Mayfield,Big 12,550373,QB,254,358,0.709,3965,40,8,11.1,78,177,6,2.3,16,Dual Threat,Oklahoma,11,Pocket Passer,1.3288956950919926,0.515695067264574,4.824175824175824,82.405,86.07671023773213,22.5,238.73,67.18333333333334,61.25,8.358333333333334,1019.2083333333333,0.08333333333333333
2016,Jesse Ertz,Big 12,550448,QB,152,264,0.576,1755,9,4,6.6,183,1012,12,5.5,54,Not Dual Threat,Kansas State,9,Pure Runner,1.1070586053708726,0.4871794871794872,3.942528735632184,69.6842105263158,58.351069263294214,12.1,155.49,66.2,60,9.633333333333333,1019.275,0
2016,Jerod Evans,ACC,556465,QB,268,422,0.635,3552,29,8,8.4,204,846,12,4.1,55,Dual Threat,Virginia Tech,10,Dual Threat,1.0746206538282317,0.4573804573804574,3.5677966101694913,68.99,67.9695989909721,13.7,190.06,63.14615384615385,57,11.292307692307693,1019.9916666666667,0.07692307692307693
2016,Stephen Johnson,SEC,557882,QB,145,265,0.547,2037,13,6,7.7,97,327,3,3.4,75,Not Dual Threat,Kentucky,7,Other,1.2657883949097886,0.4294403892944038,3.675675675675676,50.721428571428575,48.060480939054735,2.3,204.07,66.46666666666667,50.583333333333336,8.558333333333334,1021.0916666666667,0
2016,Jacob Park,Big 12,559568,QB,133,226,0.588,1791,12,5,7.9,36,59,1,1.6,35,Not Dual Threat,Iowa State,3,Other,1.1743659503266135,0.4385026737967914,3.756410256410256,48.870588235294115,52.84316876982645,1.1,170.58,66.1,59.916666666666664,7.783333333333333,1020.5083333333333,0
2016,Mason Rudolph,Big 12,3116407,QB,284,448,0.634,4091,28,4,9.1,83,61,6,0.7,25,Dual Threat,Oklahoma State,10,Pocket Passer,1.2629805627511703,0.47854785478547857,4.12037037037037,70.235,67.94326144662212,17.1,184.33,70.05833333333334,51.666666666666664,7.808333333333334,1021.5916666666667,0
2016,Skyler Howard,Big 12,3116460,QB,247,404,0.611,3328,26,10,8.2,142,463,10,3.3,38,Dual Threat,West Virginia,10,Dual Threat,1.2302843838285933,0.4509169363538296,3.49,64.22105263157894,61.750316527925165,13.5,194.45,63.5,58.083333333333336,8.941666666666666,1018.9583333333333,0
2016,Sean White,SEC,3121585,QB,133,208,0.639,1679,9,3,8.1,55,163,2,3,41,Not Dual Threat,Auburn,8,Other,1.0825044192511744,0.4609929078014184,3.820224719101123,64.19333333333333,59.451467731466344,19.3,275.14,74.70833333333333,49.333333333333336,6.075,1019.790909090909,0
2016,Deshaun Watson,ACC,3122840,QB,387,578,0.67,4593,41,17,7.9,165,629,9,3.8,33,Dual Threat,Clemson,14,Dual Threat,1.0971962130031263,0.4995331465919701,3.984251968503937,74.60526315789474,74.78994848565314,27.6,271.16,70.6076923076923,51.15384615384615,3.7384615384615385,1020.9538461538461,0
2016,Brad Kaaya,ACC,3123048,QB,261,421,0.62,3532,27,7,8.4,37,-136,1,-3.7,12,Not Dual Threat,Miami,9,Pocket Passer,1.282099997137398,0.4287410926365795,3.680412371134021,56.73125,63.11366631373648,17.2,231.78,75.24166666666667,60.333333333333336,8.558333333333334,1017.1083333333333,0
2016,John Wolford,ACC,3124092,QB,166,299,0.555,1774,9,10,5.9,130,521,6,4,64,Not Dual Threat,Wake Forest,7,Pure Runner,1.149997956491984,0.3685968819599109,3.0684931506849313,49.57333333333333,40.49208195415887,2.2,169.4,70.825,54.5,8.258333333333333,1018.7833333333333,0
2016,Patrick Mahomes,Big 12,3139477,QB,388,591,0.657,5052,41,10,8.5,131,285,12,2.2,32,Dual Threat,Texas Tech,5,Pocket Passer,1.3424407793487263,0.48394004282655245,4.728260869565218,73.6,70.52756881420855,4.7,184.64,70.31666666666666,50.5,9.5,1019.6333333333333,0.08333333333333333
2016,Lamar Jackson,ACC,3916387,QB,230,409,0.562,3543,30,9,8.7,260,1571,21,6,72,Dual Threat,Louisville,9,Dual Threat,1.3144171815759085,0.49548387096774194,4.355769230769231,76.9235294117647,81.87996350680135,21.6,196.02,64.95,56.25,5.683333333333334,1020.175,0.08333333333333333
2017,Nic Shimonek,Big 12,545364,QB,328,493,0.665,3963,33,10,8,59,-66,1,-1.1,16,Not Dual Threat,Texas Tech,6,Pocket Passer,1.20741339126996,0.4450261780104712,3.37,65.41428571428571,60.88250287666142,5.6,183.07,68.09166666666667,56.083333333333336,10.958333333333334,1014.9,0.08333333333333333
2017,Tanner Lee,Big Ten,545757,QB,246,428,0.575,3143,23,16,7.3,30,-97,2,-3.2,6,Not Dual Threat,Nebraska,4,Other,1.2628873446201516,0.4,3.5652173913043477,52.42307692307693,50.10498492728751,-2.1,224.33,61.358333333333334,62.166666666666664,10.066666666666666,1012.125,0
2017,Richard Lagow,Big Ten,546687,QB,172,295,0.583,1936,15,8,6.6,37,-50,0,-1.4,14,Not Dual Threat,Indiana,5,Other,1.1531512098281935,0.3895216400911162,3.3013698630136985,49.2,46.68879160018678,3.7,167.99,66.59166666666667,53.416666666666664,12,1016.475,0
2017,Kenny Hill,Big 12,549865,QB,269,400,0.673,3152,23,8,7.9,100,325,5,3.3,27,Dual Threat,TCU,11,Other,1.159316496067137,0.4636871508379888,3.637254901960784,68.82307692307693,63.985471033214004,16.8,210.03,74.93076923076923,49.92307692307692,12.323076923076924,1013.9384615384615,0.07692307692307693
2017,Danny Etling,SEC,550170,QB,165,275,0.6,2463,16,2,9,72,128,2,1.8,19,Not Dual Threat,LSU,9,Other,1.0966600995006948,0.46609124537607893,3.411111111111111,69.05833333333334,64.07779984777547,13.9,287.66,78.81666666666666,68,5.95,1012.5799999999999,0.16666666666666666
2017,Baker Mayfield,Big 12,550373,QB,285,404,0.705,4627,43,6,11.5,97,311,5,3.2,54,Dual Threat,Oklahoma,12,Pocket Passer,1.369998428030971,0.5336322869955157,4.564814814814815,88.93571428571428,87.0523445876258,22.3,270.79,70.85384615384615,48.92307692307692,9.215384615384615,1015.5307692307692,0.07692307692307693
2017,Stephen Johnson,SEC,557882,QB,189,316,0.598,2305,10,6,7.3,103,375,5,3.6,54,Not Dual Threat,Kentucky,7,Other,1.235575164651442,0.43599493029150826,3.5068493150684934,56.225,50.24369758870403,1.4,207.73,70.4,55.666666666666664,7.391666666666667,1017.7,0
2017,Mason Rudolph,Big 12,3116407,QB,318,489,0.65,4904,37,9,10,61,35,10,0.6,19,Dual Threat,Oklahoma State,10,Pocket Passer,1.4419825374271054,0.470917225950783,4.252252252252252,80.4,76.70211715124859,17,194.18,70.54166666666667,55.583333333333336,10.458333333333334,1015.725,0
2017,John Wolford,ACC,3124092,QB,239,374,0.639,3192,29,6,8.5,140,683,10,4.9,33,Dual Threat,Wake Forest,8,Dual Threat,1.194581491456587,0.4465691788526434,3.928571428571429,72.5090909090909,73.05447684536341,8.9,161.99,64.95,61.083333333333336,7.983333333333333,1018.2,0.08333333333333333
2017,Lamar Jackson,ACC,3916387,QB,254,430,0.591,3660,27,10,8.5,232,1601,18,6.9,75,Dual Threat,Louisville,8,Dual Threat,1.307453491226679,0.501187648456057,4.0495049504950495,76.32,80.91962203462872,13,205.15,70.475,54.75,9.125,1017.7666666666667,0.08333333333333333
